# Reviewed block-glyph raster digests; see crates/sonicterm-block-glyph/CLAUDE.md.
# Regenerate only for a named geometry change:
#   SONICTERM_BLESS_BLOCK_GLYPH=1 cargo test -p sonicterm-block-glyph raster_digests
# Bless rewrites this file and fails; review the diff, then rerun without the variable.
# alpha_sum: sum of every texel's alpha. ink_bbox: inclusive x0,y0,x1,y1 of nonzero alpha.
# fnv1a64: FNV-1a 64 over width and height (u32 LE), then row-major alpha.
# codepoint	cell_w	cell_h	underline	alpha_sum	ink_bbox	fnv1a64
U+2814	45	60	3	64569	5,17,39,43	e9c7844968bb382d
U+28FF	5	9	1	3195	0,0,4,8	0047ddddb4b75322
U+28FF	8	16	1	8160	1,1,6,14	684a6d0fe9f0e4dd
U+28FF	15	31	2	28710	2,2,13,28	df09c7c0e286943f
U+28FF	16	32	2	32640	2,2,13,29	5161a721d18a9f75
U+28FF	30	40	2	114808	3,1,26,38	17adf2de5d0a55ab
U+28FF	45	60	3	258276	5,2,39,58	3ef9c80662e61cb8
U+1FB68	5	9	1	8640	0,0,4,8	8d685cc763db3a35
U+1FB68	8	16	1	25461	0,0,7,15	5fd2ac75323969b2
U+1FB68	15	31	2	89161	0,0,14,30	d5585151a3a292a2
U+1FB68	16	32	2	100222	0,0,15,31	ccf0e2631a963a7b
U+1FB68	30	40	2	232180	0,0,29,39	caa7edefb65f79bb
U+1FB68	45	60	3	516663	0,0,44,59	1169f4cadc5ac2f9
U+1FBA0	5	9	1	1147	0,0,2,4	be19e040da06297a
U+1FBA0	8	16	1	1912	0,0,3,7	686a35091afa8d5f
U+1FBA0	15	31	2	8490	0,0,8,15	525af9bede0ec1d5
U+1FBA0	16	32	2	8490	0,0,8,15	66ae174193ba1eef
U+1FBA0	30	40	2	12127	0,0,15,19	20a3c854a2577ca2
U+1FBA0	45	60	3	27833	0,0,23,30	ca6dd9ed45641901
U+1FB3C	5	9	1	1100	0,5,2,8	32d6bcb0adbd1dbf
U+1FB3C	8	16	1	2376	0,10,3,15	bd7d36a456ca63c3
U+1FB3C	15	31	2	9882	0,20,7,30	74f3b35bd4d984e9
U+1FB3C	16	32	2	10201	0,21,7,31	32cbda6538a422dc
U+1FB3C	30	40	2	24623	0,26,14,39	1d6c677169cc5222
U+1FB3C	45	60	3	58793	0,39,22,59	513ff421f1c090c3
U+E0B0	5	9	1	5740	0,0,4,8	49daeb1821e6e407
U+E0B0	8	16	1	16324	0,0,7,15	60233482ca5e4b01
U+E0B0	15	31	2	59303	0,0,14,30	04e0b8a1837f26f6
U+E0B0	16	32	2	65288	0,0,15,31	95e3886a9ed944fd
U+E0B0	30	40	2	153013	0,0,29,39	f8cc0e76c533a392
U+E0B0	45	60	3	344207	0,0,44,59	3169cf78d6cce7cd
U+E0B1	5	9	1	2461	0,0,4,8	d095557399b629b4
U+E0B1	8	16	1	4109	0,0,7,15	a8bf268944164f80
U+E0B1	15	31	2	21059	0,0,14,30	d9b409d2deabbd90
U+E0B1	16	32	2	22162	0,0,15,31	c83389f9d1f45cb7
U+E0B1	30	40	2	35698	0,0,29,39	1105071104536699
U+E0B1	45	60	3	80242	0,0,44,59	5b0bc463e0cecb34
U+E0B4	5	9	1	9311	0,0,4,8	8800b2f82401b35a
U+E0B4	8	16	1	26543	0,0,7,15	74bb9a71e0d8d818
U+E0B4	15	31	2	98282	0,0,14,30	d38cdf1f2011ca7f
U+E0B4	16	32	2	108149	0,0,15,31	d3771d9ec4d9d018
U+E0B4	30	40	2	253460	0,0,29,39	ab7375df554219f7
U+E0B4	45	60	3	570145	0,0,44,59	187938cd97bb35cd
U+E0B8	5	9	1	5695	0,0,4,8	2c13b2bfcc1ffe44
U+E0B8	8	16	1	15755	0,0,7,15	7e11a51c5ab0abca
U+E0B8	15	31	2	59381	0,0,14,30	8f35dfc602ccaa10
U+E0B8	16	32	2	64356	0,0,15,31	9f75cacc64dfb1e1
U+E0B8	30	40	2	152402	0,0,29,39	3f137db741df78bb
U+E0B8	45	60	3	347246	0,0,44,59	7b84a4b88ee1bae6
U+EE00	5	9	1	9372	0,0,4,8	00818e7ffc1a0355
U+EE00	8	16	1	17506	0,1,7,14	2a35126bf1a43a77
U+EE00	15	31	2	66246	0,2,14,28	52e2df9755ed63d1
U+EE00	16	32	2	71701	0,2,15,29	4bea9fdfaf8846fe
U+EE00	30	40	2	118599	1,3,29,36	c64eab55b2820fb0
U+EE00	45	60	3	263925	3,5,44,53	c7f72b0227cf8213
U+EE04	5	9	1	11475	0,0,4,8	71fe00e4166b5906
U+EE04	8	16	1	15304	0,1,7,14	17e2ed9526a30285
U+EE04	15	31	2	59280	0,2,14,28	a7cc3e534ee28c77
U+EE04	16	32	2	59152	0,2,15,29	b264b1a44fb0e905
U+EE04	30	40	2	110910	0,3,29,36	03231371261596b9
U+EE04	45	60	3	252450	0,5,44,53	8871aae787d8bed0
U+F5D0	5	9	1	3825	0,3,4,5	9666c86f4c01936a
U+F5D0	8	16	1	6120	0,6,7,8	ad4f73734061b525
U+F5D0	15	31	2	22950	0,12,14,18	5a1d35c7a8f46869
U+F5D0	16	32	2	24480	0,12,15,18	69743ba22fb9de95
U+F5D0	30	40	2	45900	0,16,29,22	cd8f72df9ce2771f
U+F5D0	45	60	3	103275	0,25,44,33	f9bf1d4878890d9d
U+F5EE	5	9	1	1787	1,3,3,5	c6d457a96e298efa
U+F5EE	8	16	1	7958	0,4,6,10	018d94a3d825bded
U+F5EE	15	31	2	23853	2,10,12,20	e1d8f76887f10d42
U+F5EE	16	32	2	32176	1,9,13,21	84b0a56b0cd29a75
U+F5EE	30	40	2	105698	3,8,25,30	a6c50be5f6cbae95
U+F5EE	45	60	3	243863	5,12,39,46	b601c57a7f5c9f49
U+EE06	8	16	1	2486	1,4,6,7	30b262ccd262d6b1
U+EE06	15	31	2	10565	2,8,12,14	a8310585a57c81c4
U+EE06	16	32	2	10851	2,8,13,14	81b596ac68986b3e
U+EE06	30	40	2	28243	4,5,25,13	07399ed0837ccae4
U+EE06	45	60	3	65381	6,7,38,19	42f2404dcc1956f5
